**************************************************************************************************************
*****                             MOLLER MEASUREMENT DATA SUMMARY                                        *****
**************************************************************************************************************
* MN     - measurement number
* TG     - target number
* runNN  - run number
* TP     run type 1-measurement in point, 2-transverse scan, 3-longitudinal scan
* p-bg   - substracted accidental background
* p+bg   - no substraction of accidental background
* err    - statistical error +/-
* av-bg  - averaged polarization for substracted bg
* av+bg  - averaged polarization without bg substraction
* err    - statistical error
* hi2    - hi2/ndf
* Xenc   - transverce foil coordinate (by encoder) range:RightLimit=0.65 LeftLimit=3.81
* Yenc   - longitudinal foil coordinate (by encoder) 
*          Y range: top=0.4 center=1.40 bottom=2.56  top-bottom=55mm
* BOP    - BOP current (1/2 of a real current), Amp
* T.Pol  - target polarization
* date   - date of measurement
*** Target number       1(old)       2       3       4       5       6
*** Target material     S-Mend     S-Mend    Fe      Fe     S-Mend   Al
*** Target thickness    13.4        29.4     14.3    9.3      6.8
******************************************************************************************
*MN TG runNN TP p-bg    p+bg   err  av-bg    av+bg    err  hi2   Xenc  Yenc BOP T.Pol date 
******************************************************************************************
*******************************          YEAR 2005          ******************************
*** Beam current = 0.36 uAmp Fast raster is OFF
*** Runs 11745 - 11756  --  New target test run                                     06.16
******************************************************************************************
002 1 11883 1 -88.70  -89.10  0.34    0       0      0     0   3.575  1.390 9.9 7.95 08.10
002 1 11884 1  88.41   88.83  0.35  -88.56  -88.97  0.25  0.3  3.575  1.390 9.9 7.95 08.10
******************************************************************************************
*** Target 3 at center  Beam current = 0.3 uAmp
003 3 11891 1 -82.56  -82.75  0.48    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11892 1  83.17   83.39  0.48    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11893 1 -82.42  -82.62  0.48    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11894 1  83.42   83.62  0.48  -82.89  -83.09  0.24  1.0  2.310  1.387 8.0 7.62 08.26
*** Target 3 at center
003 3 11895 1 -83.16  -83.30  0.50    0       0      0     0   2.310  1.387 6.3 7.36 08.26
003 3 11896 1  84.35   84.55  0.53    0       0      0     0   2.310  1.387 6.3 7.36 08.26
003 3 11897 1 -83.18  -83.43  0.52    0       0      0     0   2.310  1.387 6.3 7.36 08.26
003 3 11898 1  82.57   82.74  0.50  -83.32  -83.51  0.25  2.1  2.310  1.387 6.3 7.36 08.26
*** Target 3 at center
003 3 11899 1 -83.28  -83.43  0.53    0       0      0     0   2.310  1.387 4.0 6.92 08.26
003 3 11900 1  84.59   84.72  0.53    0       0      0     0   2.310  1.387 4.0 6.92 08.26
003 3 11901 1 -84.21  -84.53  0.52    0       0      0     0   2.310  1.387 4.0 6.92 08.26
003 3 11902 1  83.54   83.80  0.54  -83.91  -84.12  0.27  1.3  2.310  1.387 4.0 6.92 08.26
*** Target 3 at center
003 3 11903 1 -82.97  -83.09  0.47    0       0      0     0   2.310  1.387 9.9 7.75 08.26
003 3 11904 1  81.79   81.96  0.47    0       0      0     0   2.310  1.387 9.9 7.75 08.26
003 3 11905 1 -83.32  -83.49  0.47    0       0      0     0   2.310  1.387 9.9 7.75 08.26
003 3 11906 1  82.76   82.92  0.47  -82.71  -82.87  0.24  1.9  2.310  1.387 9.9 7.75 08.26
*** Target 3 at center (hysteresis check)
003 3 11907 1 -83.81  -83.94  0.52    0       0      0     0   2.310  1.387 4.0 6.92 08.26
003 3 11908 1  84.35   84.35  0.54    0       0      0     0   2.310  1.387 4.0 6.92 08.26
003 3 11909 1 -83.61  -83.86  0.52    0       0      0     0   2.310  1.387 4.0 6.92 08.26
003 3 11910 1  83.86   84.13  0.52  -83.91  -84.07  0.26  0.4  2.310  1.387 4.0 6.92 08.26
*** Target 3 at center  Beam current = 0.13 uAmp
003 3 11911 1 -82.86  -82.97  0.53    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11912 1  82.30   82.46  0.54    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11913 1 -83.46  -83.47  0.53    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11914 1  83.13   83.22  0.54  -82.94  -83.03  0.27  0.8  2.310  1.387 8.0 7.62 08.26
*** Target 3 at center  Beam current = 0.3 uAmp  Close Collimator to 20mm (1/2 full gap) 
003 3 11916 1 -83.39  -82.97  0.12    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11917 1  84.07   83.83  0.12    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11918 1 -81.89  -81.97  0.12    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11919 1  83.66   83.35  0.12    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11920 1 -83.64  -83.37  0.90    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11921 1  81.73   81.62  0.90  -83.06  -82.85  0.43  1.0  2.310  1.387 8.0 7.62 08.26
*** Target 3 at center  Beam current = 0.66 uAmp  Close Collimator to 20mm (1/2 full gap) 
003 3 11922 1 -83.36  -82.74  0.80    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11923 1  80.85   80.36  0.80    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11924 1 -84.22  -83.66  0.80    0       0      0     0   2.310  1.387 8.0 7.62 08.26
003 3 11925 1  81.96   81.43  0.80  -82.62  -82.05  0.40  3.2  2.310  1.387 8.0 7.62 08.26
*** Target 3 at center  Beam current = 1.2 uAmp  Close Collimator to 20mm (1/2 full gap) 
003 3 11926 1 -82.10  -81.48  0.60    0       0      0     0   2.310  1.387 8.0 7.62 08.27
003 3 11927 1  80.88   79.76  0.60    0       0      0     0   2.310  1.387 8.0 7.62 08.27
003 3 11928 1 -81.70  -80.78  0.60    0       0      0     0   2.310  1.387 8.0 7.62 08.27
003 3 11929 1  80.93   79.79  0.60  -81.40  -80.45  0.30  0.9  2.310  1.387 8.0 7.62 08.27
*** Target 2 at center  Beam current = 0.35 uAmp  Close Collimator to 20mm (1/2 full gap) 
003 2 11934 1 -82.97  -82.37  0.80    0       0      0     0   2.940  1.387 8.0 8.21 08.27
003 2 11935 1  83.31   82.72  0.80    0       0      0     0   2.940  1.387 8.0 8.21 08.27
003 2 11936 1 -83.90  -83.03  0.80    0       0      0     0   2.940  1.387 8.0 8.21 08.27
003 2 11937 1  83.97   83.00  0.80  -83.53  -82.78  0.38  0.4  2.940  1.387 8.0 8.21 08.27
*** Target 2 at center  Beam current = 0.35 uAmp  Collimator is opened back 
003 2 11938 1 -82.77  -83.15  0.43    0       0      0     0   2.940  1.387 8.0 8.21 08.27
003 2 11939 1  82.39   82.87  0.43    0       0      0     0   2.940  1.387 8.0 8.21 08.27
003 2 11940 1 -82.31  -82.81  0.43    0       0      0     0   2.940  1.387 8.0 8.21 08.27
003 2 11941 1  82.58   82.99  0.43  -82.51  -82.96  0.22  0.2  2.940  1.387 8.0 8.21 08.27
*** Target 2 at center  Beam current = 0.35 uAmp 
003 2 11942 1 -81.59  -82.05  0.45    0       0      0     0   2.940  1.387 4.0 8.19 08.27
003 2 11943 1  81.80   82.13  0.43    0       0      0     0   2.940  1.387 4.0 8.19 08.27
003 2 11944 1 -82.18  -82.59  0.43    0       0      0     0   2.940  1.387 4.0 8.19 08.27
003 2 11945 1  81.92   82.36  0.43  -81.87  -82.28  0.22  0.4  2.940  1.387 4.0 8.19 08.27
*** Target 5 at center  Beam current = 0.35 uAmp 
003 5 11946 1 -84.04  -84.23  0.61    0       0      0     0   1.030  1.387 8.0 7.96 08.27
003 5 11947 1  83.30   83.43  0.60    0       0      0     0   1.030  1.387 8.0 7.96 08.27
003 5 11948 1 -85.05  -85.11  0.62    0       0      0     0   1.030  1.387 8.0 7.96 08.27
003 5 11949 1  85.46   85.57  0.61  -84.46  -84.59  0.31  2.6  1.030  1.387 8.0 7.96 08.27
*** Target 5 at center  Beam current = 0.6 uAmp 
003 5 11950 1 -84.64  -84.88  0.47    0       0      0     0   1.030  1.387 8.0 7.96 08.27
003 5 11951 1  84.44   84.58  0.50    0       0      0     0   1.030  1.387 8.0 7.96 08.27
003 5 11952 1 -84.50  -84.65  0.47    0       0      0     0   1.030  1.387 8.0 7.96 08.27
003 5 11953 1  84.77   84.92  0.47  -84.59  -84.76  0.24  0.1  1.030  1.387 8.0 7.96 08.27
******************************************************************************************
*** Target 5 at center  Beam current=0.5 uAmp   1/2WP=IN 
004 5 11959 1 -3.75   -3.77   0.43    0       0      0     0   1.050  1.387 8.0 7.97 08.30
004 5 11960 1  4.79    4.84   0.44    0       0      0     0   1.050  1.387 8.0 7.97 08.30
004 5 11961 1 -4.62   -4.64   0.42    0       0      0     0   1.050  1.387 8.0 7.97 08.30
004 5 11962 1  3.56    3.63   0.43    0       0      0     0   1.050  1.387 8.0 7.97 08.30
004 5 11963 1 -4.26   -4.25   0.43    0       0      0     0   1.050  1.387 8.0 7.97 08.30
004 5 11964 1  4.04    4.06   0.43  -4.17   -4.20   0.17  1.3  1.050  1.387 8.0 7.97 08.30
*** Target 5 at center  Beam current=0.5 uAmp   1/2WP=OUT 
004 5 11965 1  3.73    3.75   0.42    0       0      0     0   1.050  1.387 8.0 7.97 08.30
004 5 11966 1 -4.54   -4.55   0.42    0       0      0     0   1.050  1.387 8.0 7.97 08.30
004 5 11967 1  4.65    4.69   0.42    0       0      0     0   1.050  1.387 8.0 7.97 08.30
004 5 11968 1 -4.42   -4.40   0.43   4.34    4.35   0.21  1.0  1.050  1.387 8.0 7.97 08.30
******************************************************************************************
*** Target 5 at center  Beam current = 0.5 uAmp
005 5 11971 1 -84.76  -84.99  0.43    0       0      0     0   1.040  1.387 8.0 7.97 09.10
005 5 11972 1  84.35   84.54  0.43    0       0      0     0   1.040  1.387 8.0 7.97 09.10
005 5 11973 1 -83.62  -83.80  0.43    0       0      0     0   1.040  1.387 8.0 7.97 09.10
005 5 11974 1  84.11   84.33  0.43  -84.59  -84.42  0.21  1.2  1.040  1.387 8.0 7.97 09.10
*** Target 3 at center
005 3 11975 1 -82.37  -82.89  0.31    0       0      0     0   2.310  1.387 8.0 7.62 09.10
005 3 11976 1  82.51   82.88  0.32    0       0      0     0   2.310  1.387 8.0 7.62 09.10
005 3 11977 1 -83.00  -83.41  0.31    0       0      0     0   2.310  1.387 8.0 7.62 09.10
005 3 11978 1  83.16   83.58  0.31  -82.76  -83.19  0.16  1.5  2.310  1.387 8.0 7.62 09.10
*** Target 3 at center
005 3 11979 2 -81.63  -81.81  0.51    0       0      0     0   2.310  1.387 8.0 7.64 09.10
005 3 11980 2  82.69   82.08  0.48    0       0      0     0   2.310  1.387 8.0 7.64 09.10
005 3 11981 2 -82.22  -82.28  0.36    0       0      0     0   2.310  1.387 8.0 7.64 09.10
005 3 11982 2  84.02   88.12  0.44    0       0      0     0   2.310  1.387 8.0 7.64 09.10
005 3 11983 2 -81.18  -81.86  0.35    0       0      0     0   2.310  1.387 8.0 7.64 09.10
