* April 3, 2010
 14366. 16.288 -0.0055645 -0.0038293   9.0635   0.0000
 14367. 16.288 -0.0044215 -0.0031475   7.2017   0.0000
 14368. 16.288  0.0018960  0.0037937  -3.0882  26.7169
 14369. 16.288  0.0002976  0.0005317  -0.4847   2.4538
 14370. 16.288  0.0008933  0.0002533  -1.4551   2.0741
 14371. 16.288 -0.0006242 -0.0001321   1.0168   1.2445
 14372. 16.288  0.0000000  0.0000000   0.0000   0.0000
 14373. 16.288  0.0396462  0.0177496  64.5757   1.1515
 14374. 16.288  0.0539219  0.0480000  87.8280   1.3038
 14375. 16.288  0.0543484  0.0529339  88.5227   1.3106
 14376. 16.288  0.0551351  0.0547357  89.8041   1.3191
 14377. 16.288  0.0542744  0.0541934  88.4021   1.3390
 14378. 16.288  0.0548092  0.0551877  89.2732   1.4433
 14379. 16.288  0.0547568  0.0547147  89.1879   1.8041
 14380. 16.288  0.0583343  0.0584226  95.0149   3.2039
 14381. 16.288  0.0550008  0.0546027  89.5853   0.7079
 14382. 16.288  0.0559173  0.0555293  91.0781   1.4973
 14383. 16.288  0.0553245  0.0552495  90.1125   0.9872
 14384. 16.288  0.0549221  0.0549685  89.4571   0.6081
 14385. 16.288  0.0566502  0.0565156  92.2718   0.5593
 14386. 16.288  0.0569693  0.0566822  92.7916   0.5487
 14387. 16.288  0.0508844  0.0511354  82.8805   0.8753
 14388. 16.288  0.0504835  0.0509914  82.2275   0.8878
 14389. 16.288  0.0561619  0.0559252  91.4765   0.6580
 14390. 16.288  0.0550071  0.0552786  89.5956   0.6700
 14391. 16.288  0.0552082  0.0555912  89.9231   0.6134
 14392. 16.288  0.0549921  0.0540150  89.5711   0.5853
 14393. 16.288  0.0563028  0.0560564  91.7060   0.5817
 14394. 16.288  0.0548065  0.0542316  89.2688   0.7035
 14395. 16.288  0.0566130  0.0562450  92.2113   0.6135
 14396. 16.288  0.0560913  0.0557852  91.3615   0.6127
 14397. 16.288  0.0565628  0.0562397  92.1295   0.6145
 14398. 16.288  0.0561029  0.0564291  91.3804   0.6137
 14399. 16.288  0.0202984  0.0186547  33.0620   2.0249
 14400. 16.288 -0.0007689  0.0005028  -1.2524   0.0000
 14401. 16.288  0.0004233  0.0001690   0.6894   0.0000
 14402. 16.288  0.0564831  0.0562040  91.9997   0.6425
 14403. 16.288  0.0564532  0.0562998  91.9510   0.6297
 14404. 16.288  0.0558430  0.0552423  90.9571   0.6264
 14405. 16.288  0.0566903  0.0562177  92.3372   0.6255
 14406. 16.288  0.0559658  0.0562788  91.1571   0.6378
 14407. 16.288  0.0557665  0.0558932  90.8325   0.5068
 14408. 16.288  0.0554721  0.0555911  90.3530   0.5769
 14409. 16.288  0.0557150  0.0556660  90.7486   0.5754
 14410. 16.288  0.0557900  0.0554465  90.8708   0.5682
 14411. 16.288  0.0559233  0.0558651  91.0879   0.5673
 14412. 16.288  0.0554517  0.0553427  90.3197   0.5651
 14413. 16.288  0.0575568  0.0561892  93.7485   1.7967
 14414. 16.288  0.0000000  0.0000000   0.0000   0.0000
 14415. 16.288  0.0000000  0.0000000   0.0000   0.0000
 14416. 16.288  0.0000000  0.0000000   0.0000   0.0000
 14417. 16.288  0.0000000  0.0000000   0.0000   0.0000
* April 28
*89.8814 89.7112  89.9844 89.4975
*89.76 89.74 89.77 89.43
*0.60 0.60 0.61 0.61
*88.26 89.23 88.99 90.12 88.50 87.67
*0.75 0.74 0.75 0.75 0.75 0.75
*88.97  89.22
*0.63 0.63
*88.42  88.55 90.44 89.45
*0.61  0.61 0.61 0.61
*90.26 90.73 89.72 90.66
*0.51 0.51 0.50 0.48
*91.66 90.61 91.25 91.11
*0.54 0.54 0.54 0.53
*91.06 90.25
*0.48 0.45
 14418. 16.288 -0.0551826 -0.0549596 -89.8814   0.6002
 14419. 16.288 -0.0550781 -0.0548363 -89.7112   0.6045
 14420. 16.288 -0.0552458 -0.0548805 -89.9844   0.6059
 14421. 16.288 -0.0549469 -0.0550898 -89.4975   0.6081
 14422. 16.288 -0.0547720 -0.0546895 -89.2126   0.6108
 14423. 16.288  0.0000000  0.0000000   0.0000   1.2025
 14424. 16.288  0.0000000  0.0000000   0.0000   0.7513
 14425. 16.288  0.0000000  0.0000000   0.0000   0.7442
 14426. 16.288  0.0000000  0.0000000   0.0000   0.7464
 14427. 16.288  0.0000000  0.0000000   0.0000   0.7498
 14428. 16.288  0.0000000  0.0000000   0.0000   0.7508
 14429. 16.288  0.0000000  0.0000000   0.0000   0.7457
 14430. 16.288  0.0015326  0.0014971   2.4962   0.7522
 14431. 16.288 -0.0548174 -0.0546745 -89.2866   0.6254
 14432. 16.288 -0.0547605 -0.0546613 -89.1939   0.6281
 14433. 16.288  0.0203333  0.0106667  33.1189   0.0000
 14434. 16.288 -0.0542986 -0.0544914 -88.4416   0.6075
 14435. 16.288 -0.0544174 -0.0542615 -88.6351   0.6083
 14436. 16.288 -0.0556677 -0.0555747 -90.6715   0.6074
 14437. 16.288 -0.0549365 -0.0550772 -89.4806   0.6074
 14438. 16.288 -0.0548573 -0.0547875 -89.3516   0.6106
 14439. 16.288 -0.0551091 -0.0550794 -89.7617   0.5101
 14440. 16.288 -0.0555040 -0.0550899 -90.4049   0.5117
 14441. 16.288 -0.0550375 -0.0549170 -89.6451   0.5021
 14442. 16.288 -0.0556266 -0.0555431 -90.6046   0.4771
 14443. 16.288 -0.0562803 -0.0559059 -91.6694   0.5399
 14444. 16.288 -0.0556745 -0.0554424 -90.6826   0.5402
 14445. 16.288 -0.0559154 -0.0559426 -91.0750   0.5411
 14446. 16.288 -0.0559825 -0.0558422 -91.1843   0.5345
 14447. 16.288 -0.0559164 -0.0557178 -91.0766   0.4770
 14448. 16.288 -0.0553797 -0.0551364 -90.2025   0.4509
 14449. 16.288  0.0554558  0.0551775 -90.3264   0.4541
 14450. 16.288  0.0551780  0.0547938 -89.8739   0.4588
 14451. 16.288  0.0553814  0.0549817 -90.2052   0.4273
 14452. 16.288  0.0556929  0.0554832 -90.7126   0.4253
 14453. 16.288  0.0559192  0.0554643 -91.0812   0.4802
 14454. 16.288  0.0559914  0.0555441 -91.1988   0.6410
 14455. 16.288  0.0564370  0.0557366 -91.9246   1.0128
 14456. 16.288  0.0572576  0.0568645 -93.2612   1.3631
 14457. 16.288  0.0553754  0.0554554 -90.1955   2.4288
 14458. 16.288  0.0550402  0.0552010 -89.6495   0.8686
 14459. 16.288  0.0558314  0.0553494 -90.9382   0.6982



