 
          Moller measurements: rates/sec and asymmetries
  run    Left   Right Coinc. Accid.    BCM  Clock      Raw.Asymm          Polarization     angl An.Pow Pol.Targ   Polarization L/R    Asym BCM    coil
13066  182226  125702  53497   366.  18351. 101734  -0.0503+/- 0.0003  -0.8829+/- 0.0048    20.0  0.760  0.0797  -0.5876  -0.6323  0.00011 0.00009-15.9
13067  178562  127196  54097   363.  18241. 101751   0.0504+/- 0.0003   0.8850+/- 0.0048    20.0  0.760  0.0797   0.5841   0.6316  0.00012 0.00007 15.4
13068  183707  127042  54378   373.  18564. 101738  -0.0504+/- 0.0003  -0.8853+/- 0.0048    20.0  0.760  0.0797  -0.5833  -0.6361  0.00004 0.00015-15.9
13070  184498  127865  54358   376.  18542. 101749  -0.0059+/- 0.0003  -0.1037+/- 0.0049    20.0  0.760  0.0797  -0.0688  -0.0761  0.00011 0.00013-15.9
13071  182921  131029  55152   383.  18648. 101747   0.0065+/- 0.0003   0.1144+/- 0.0048    20.0  0.760  0.0797   0.0736   0.0827  0.00015 0.00007 15.4
13072  184073  126929  54406   375.  18489. 101743  -0.0044+/- 0.0003  -0.0779+/- 0.0049    20.0  0.760  0.0797  -0.0520  -0.0605  0.00015 0.00007-15.9
13073  181780  129593  55102   377.  18507. 101756   0.0045+/- 0.0003   0.0789+/- 0.0048    20.0  0.760  0.0797   0.0490   0.0555  0.00011 0.00008 15.4
13074  183539  126076  53810   373.  18220. 101756  -0.0520+/- 0.0003  -0.9131+/- 0.0049    20.0  0.760  0.0797  -0.6029  -0.6523  0.00005 0.00014-15.9
13075  183198  130267  55441   382.  18543. 101753   0.0511+/- 0.0003   0.8983+/- 0.0048    20.0  0.760  0.0797   0.5976   0.6485  0.00012 0.00008 15.4
13076  187583  129346  55689   391.  18816. 101763  -0.0524+/- 0.0003  -0.9205+/- 0.0051    20.0  0.760  0.0797  -0.6055  -0.6516  0.00007 0.00009-15.9
13077  185477  132081  56416   394.  18839. 101750   0.0518+/- 0.0003   0.9104+/- 0.0048    20.0  0.760  0.0797   0.5989   0.6473  0.00025 0.00013 15.4
13079  255824  182314  77953   744.  18877. 101768   0.0485+/- 0.0002   0.9123+/- 0.0044    20.0  0.760  0.0744   0.5942   0.6511  0.00012 0.00011 15.4
13080  261141  180142  77652   755.  19004. 101755  -0.0480+/- 0.0002  -0.9038+/- 0.0044    20.0  0.760  0.0744  -0.5959  -0.6474  0.00014 0.00006-15.9
13081  245970  175012  74867   696.  18076. 101782   0.0479+/- 0.0002   0.9022+/- 0.0044    20.0  0.760  0.0744   0.5972   0.6424  0.00014 0.00098 15.4
13082  223790  153886  66476   552.  16017. 101777  -0.0479+/- 0.0002  -0.9020+/- 0.0047    20.0  0.760  0.0744  -0.5940  -0.6455  0.00006 0.00012-15.9
13083  282813  203380  87315   924.  12947. 101741   0.0474+/- 0.0002   0.8701+/- 0.0041    20.0  0.760  0.0762   0.5726   0.6158 -0.00023 0.00017 15.4
13084  285540  198424  85802   909.  12923. 101752  -0.0481+/- 0.0002  -0.8838+/- 0.0040    20.0  0.760  0.0762  -0.5776  -0.6270 -0.00007 0.00012-15.9
13085  284776  204922  87824   937.  13098. 101748   0.0477+/- 0.0002   0.8772+/- 0.0040    20.0  0.760  0.0762   0.5769   0.6248 -0.00010 0.00010 15.4
13086  281303  195019  84003   882.  12731. 101775  -0.0483+/- 0.0002  -0.8874+/- 0.0042    20.0  0.760  0.0762  -0.5833  -0.6298  0.00012 0.00022-15.9
13087  619507  445222 188752  4368.  12930. 101749   0.0530+/- 0.0002   0.9037+/- 0.0030    20.0  0.760  0.0821   0.5752   0.6233 -0.00007 0.00012 15.4
13088  629758  437449 188170  4364.  12979. 101753  -0.0533+/- 0.0002  -0.9096+/- 0.0038    20.0  0.760  0.0821  -0.5740  -0.6335 -0.00010 0.00023-15.9
13089  605902  439384 185686  4219.  12681. 101751   0.0536+/- 0.0002   0.9135+/- 0.0037    20.0  0.760  0.0821   0.5789   0.6300 -0.00008 0.00024 15.4
13090  618297  432840 184313  4230.  12745. 101748  -0.0533+/- 0.0004  -0.9091+/- 0.0070    20.0  0.760  0.0821  -0.5759  -0.6303 -0.00037 0.00032-15.9
13091  201813  142693  61375   464.  19096. 101747   0.0473+/- 0.0003   0.8303+/- 0.0049    20.0  0.760  0.0797   0.5437   0.5543  0.00009 0.00015 15.4
13092  200567  137924  59435   445.  18628. 101773  -0.0468+/- 0.0003  -0.8226+/- 0.0047    20.0  0.760  0.0797  -0.5417  -0.5856  0.00005 0.00014-15.9
13093  204569  145802  62411   481.  19407. 101774   0.0467+/- 0.0003   0.8209+/- 0.0045    20.0  0.760  0.0797   0.5416   0.5859  0.00018 0.00015 15.4
13094  207718  143417  61937   479.  19465. 101771  -0.0465+/- 0.0003  -0.8176+/- 0.0047    20.0  0.760  0.0797  -0.5371  -0.5846  0.00017 0.00019-15.9
